smiles,FPK
Brc1c2cccc3c2c(CC3)cc1,435.45
Brc1ccc2ccccc2c1,400.95
c1cc2c(cc(Br)cc2)cc1,400.95
c1c(cc2ccccc2c1)Br,400.95
c1(Br)ccc2c(c1)cccc2,400.95
c12ccc(cc1cccc2)Br,400.95
c1cc2cc(ccc2cc1)Br,400.95
c12ccccc1cc(cc2)Br,400.95
c1cc2ccc(Br)cc2cc1,400.95
c1c2c(cc(Br)c1)cccc2,400.95
c1(Br)ccc2ccccc2c1,400.95
Brc1ccc2cccnc2c1,405.95
c12ncccc1ccc(c2)Br,405.95
c1ccnc2c1ccc(Br)c2,405.95
c1c2ncccc2ccc1Br,405.95
c1c2ccc(cc2ncc1)Br,405.95
c1cc(Br)cc2c1cccn2,405.95
c1c2c(ncc1)cc(cc2)Br,405.95
c1ccc2c(cc(Br)cc2)n1,405.95
Brc1ccc2c(c1)nccc2,405.95
c1nc2c(cc1)ccc(c2)Br,405.95
Brc1ccc2ncccc2c1,405.95
c1c(cc2cccnc2c1)Br,405.95
c1ccnc2ccc(cc21)Br,405.95
c12ccc(Br)cc2cccn1,405.95
c1cc2cc(Br)ccc2nc1,405.95
Brc1cc2cccnc2cc1,405.95
c1cc2c(ccc(Br)c2)nc1,405.95
c1cc2c(cc1Br)cccn2,405.95
c12cc(Br)ccc2nccc1,405.95
c12cc(Br)ccc2nccc1,405.95
Brc1cccc(-c2ccccc2)c1,408.75
c1(-c2ccccc2)cccc(Br)c1,408.75
c1(ccccc1)-c1cc(Br)ccc1,408.75
c1ccc(cc1)-c1cccc(Br)c1,408.75
c1cc(ccc1)-c1cccc(Br)c1,408.75
c1(-c2cccc(c2)Br)ccccc1,408.75
c1ccc(-c2cc(ccc2)Br)cc1,408.75
c1(-c2ccccc2)cccc(c1)Br,408.75
c1cccc(c1)-c1cccc(Br)c1,408.75
c1(-c2ccccc2)cc(Br)ccc1,408.75
Brc1cccc(Br)c1,366.15
c1cc(cc(c1)Br)Br,366.15
c1c(cc(cc1)Br)Br,366.15
c1cc(cc(Br)c1)Br,366.15
c1cc(cc(c1)Br)Br,366.15
c1ccc(Br)cc1Br,366.15
c1c(cccc1Br)Br,366.15
c1cc(cc(c1)Br)Br,366.15
c1ccc(Br)cc1Br,366.15
c1ccc(Br)cc1Br,366.15
Brc1cccc(C2OCCO2)c1,386.15
c1c(cccc1Br)C1OCCO1,386.15
Brc1cc(C2OCCO2)ccc1,386.15
C1COC(c2cc(ccc2)Br)O1,386.15
C1OC(c2cc(ccc2)Br)OC1,386.15
O1C(OCC1)c1cc(ccc1)Br,386.15
c1ccc(C2OCCO2)cc1Br,386.15
c1cc(C2OCCO2)cc(Br)c1,386.15
